uid,type,SBU（部门）,PRD号码,产品名称,PRD号码,巴斯夫产品名称,产品别名,默认商店,线上购买链接,品牌,产品描述,产品分类,化学成分,外观,行业,特性和优点,应用行业,注册国家,"固含量
（%）",稀释剂[浓度],含水量,官能度，计算值,"分子量 
(Mw)","粘度, 25?C
(mPa.s)","粘度, 23?C
(Pa.s)",%NCO,K值,氯质量分数(%),酸值 （mg KOH/g）,"密度, 25?C (g/cm3)",玻璃化温度(?C),胺值 （mg KOH/g）,"pH 
(25oC)",最低成膜温度 (℃),冻融稳定性(-5 °C),羟值（mg KOH/g solids）,羟基含量（%基于固含）,软化点 (oC),VOC,粒径大小 nm,细度,色度 （Gardner),溶剂,包装,产地,样品包装,推荐配方,样品ART
1,default,EDR,30450392,Joncryl? HYB 6336,30450392,Joncryl? HYB 6336,Joncryl? HYB 6336,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,an ecological “NMP” free aliphatic polyurethane acrylic hybrid for high-quality water-based wood & 3C coatings,83,polyurethane acrylic dispersion,semi-translucent milky liquid,"2,6","excellent abrasion, scratch and chemical resistance  |  excellent film clarity  |  good film build and appearance  |  good orientation for aluminum pigment  |  broad adhesion on wood, and plastics etc  |  NMP free, ecological",clear topcoats for high-quality industrial wood coatingssilver base coat for 3C coatings,CN,36.5~38.5,,,,,<=200,,,,,,,,,7.8~8.6,40,Unstable,,,,,,,,,200kg,NL,"50187890,0,11",,50187890
1,default,EDR,30627460,Joncryl? HYB 6340,30627460,Joncryl? HYB 6340,Joncryl? HYB 6340,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,a solvent-free aliphatic polyurethane acrylic hybrid for high quality water-based clear coats on furniture and flooring applications,83,polyurethane acrylic dispersion,Milky white liquid,2,"superior wear resistance  |  excellent scratch resistance  |  good chemical resistance  |  excellent black heel mark resistance  |  NMP free, ecological  |  ",use in high quality water-based clear coats on woodespecially for industrial and professional flooring and furniture applications,CN,40,,,,,40,,,,,,,,,7.6,45,Unstable,,,,,,,,,200kg,NL,"50414803,0,11",,50414803
1,default,EDR,30747533,Joncryl? HYB 6345 ap,30747533,Joncryl? HYB 6345 ap,Joncryl? HYB 6345 ap,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,"a new developed polyurethane acrylic dispersion, shows excellent scratch resistance, smooth film touch and high dry film clarity, suitable for mid-tier/high-end topcoat for wood finishes",83,polyurethane acrylic dispersion,semi-translucent milky liquid,2,"Excellent scratch resistance for high durability  |  Fast hardness development for block resistance  |  Delicate and smooth touch, slip agent free  |  High gloss and high clarity for better film build  |  Good chemical resistance for better protection  |  ","recommended for mid-tier/high-end topcoat for wood finishes, especially for clear coat with high film build",CN,36,,,,,30,,,,,,,,,8,35,Unstable,,,,,,,,,,CN,"50677359,0,11",,50677359
1,default,EDR,30436434,Joncryl? U 4190,30436434,Joncryl? U 4190,Joncryl? U 4190,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,an NMP-free aliphatic polyurethane dispersion,84,polyurethane dispersion,translucent liquid,"2,6","excellent abrasion resistance  |  outstanding film toughness  |  good chemical resistance  |  board adhesion to multiple substrates  |  NMP free, ecological  |  ","Joncryl? U 4190 is compatible with a wide range of acrylic emulsions and can be used as a blend vehiclesuitable for wood, metal, concrete and a variety of plastic substrates, including ABS and polycarbonate",CN,36.5,,,,,80,,,,,,,,,8.5,23,Unstable,,,,,,,,,220kg  |  1000kg  |  ,DE,"50246566,0,11",,50246566
1,default,EDR,30282549,Joncryl? 8211,30282549,Joncryl? 8211,Joncryl? 8211,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,"a rheology controlled acrylic dispersion for plastic and metal coatings, excellent adhesion, chemical and solvent resistance",82,Acrylic dispersion,Translucent dispersion,"6,10",Adhesion to a broad variety of substrates  |  Good outdoor durability  |  Excellent application rheology  |  Metallic pigment stability,"used in a wide range of applications including metal primers, topcoats and plastic coatings#can be applied by spray, brush, dip and flow coating#suitable for air drying anti-corrosive pigmented primers and topcoats, for exterior or interior use#shows an excellent adhesion to metal substrates such as cold rolled steel, bonder, aluminum, galvanized and zinc or steel#Due to its excellent adhesion properties on many plastic substrates such as ABS, PVC, UP, PS, PC, it is also very suitable for plastic coatings",CN,42.0 ~ 45.5,,,,,50 ~ 250,,,,,,,,,7.2 ~ 8,~57,Stable,,,,,,,,,200kg,NL,"51466222,0,11",,51466222
1,default,EDR,30282559,Joncryl? OH 8300,30282559,Joncryl? OH 8300,Joncryl? OH 8300,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,a rheology controlled acrylic dispersion for water-based thermoset metal and glass coatings,82,"Hydroxy functional Styrene acrylic dispersion, rheology controlled (RC)",semi-translucent emulsion,"6,10","For 1K thermosetting coatings, crosslinkable with melamine resins or blocked polyisocyanates  |  Excellent adhesion to metals and glass  |  Good mechanical properties  |  Good outdoor durability  |  Excellent water, chemical and corrosion resistance  |  Excellent application properties (spray application and roller coat) due to unique rheology profile  |  Excellent pigment wetting properties  |  very high gloss","used for automotive and industrial applications, namely topcoats, general metal, glass or other stoving enamels#a very good alternative to water-reducible or solvent-based acrylic- and alkyd-melamine system#used under thermal curing conditions to produce interior or exterior coatings. The main applications are direct-to-metal coatings, topcoats and glass coatings",CN,42~45,,,,,50~ 500,,,,,,,,,9.4~9.9,<15,,~42,~1.3,,,,,,,200kg,NL,"51466646,0,11",,51466646
1,default,EDR,30288267,Joncryl? OH 8311,30288267,Joncryl? OH 8311,Joncryl? OH 8311,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,a rheology controlled acrylic polyol emulsion (water-based) for ambient-curing two-component urethane wood/metal coatings,82,Hydroxyl functional acrylic emulsion,Translucent emulsion,"6,10",3.6 % OH on solid resin  |  Crosslinkable with isocyanates  |  Adhesion to a broad variety of substrates  |  Good outdoor durability  |  Excellent application rheology  |  ,used for waterbased ambient-curing two-component urethane wood/metal coatings,CN,~ 42,,,,,< 200,,,,,,,,,~ 7.5,~ 50,,~ 120,~ 3.6,,,,,,,200kg  |  1000kg  |  ,,"51466752,0,11",,51466752
1,default,EDR,30650880,Luhydran? S 938 ap,30650880,Luhydran? S 938 ap,Luhydran? S 938 ap,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,50,a special OH functional acrylic dispersion for both 1k baking application with amino resins and for 2K polyurethane coatings,82,OH functional acrylic dispersion,Milky white liquid,"2,6,10","crosslinkable with isocyanates or amino resin  |  high hardness, high anti-scratch  |  excellent chemical resistance  |  fast drying & good block resistance  |  resistant to hydrolysis  |  suitable 2k satin/matt pigmented WB PU",used as binder for acid curable or heat curable formulations in combination with amino resins for furniture foil applicationssuitable 2k satin/matt pigmented WB PU,CN,45,,,,,25,,,,,,,,,2,60,Stable,100,,,,,,,,150kg  |  1000kg  |  ,CN,"50464975,0,11#50551524,0,12",,50464975 | 50551524
1,default,EDR,30682858,Joncryl? OH 8770 AP,30682858,Joncryl? OH 8770 AP,Joncryl? OH 8770 AP,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,"a hydroxyl acrylic dispersion, which is suitable for extremely high gloss wood finishes",82,OH-functional acrylic dispersion,Milky white liquid,2,"Fast drying, quick hardness development, high end hardness  |  Less isocyanates demand, lower formula cost & less foaming tendency  |  More self-crosslinking, better chemical resistance  |  High gloss and clarity for better film build  |  Excellent stackability for on-site application  |  Long pot-life with isocyanates  |  Good weathering resistance for high durability  |  APEO free, naphtha free, ecological",recommended to use in high-end wooden furniture and kitchen cabinet with high gloss level.,CN,45,,,,,60,,,,,,,,,6.5,72,Stable,127,3.8,,,,,,,200kg,CN,"50603483,0,11#50603489,0,12",,50603483 | 50603489
1,default,EDR,30675040,Joncryl? OH 8314,30675040,Joncryl? OH 8314,Joncryl? OH 8314,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,"a unique hydroxyl functional, water-based polymer for 2K high-performance industrial direct-to-metal and multi-coat applications",82,hydroxyl acrylic dispersion,milky white liquid,6,pot life with end indication via viscosity increase  |  low VOC capability  |  excellent anti-corrosion  |  good adhesion on various substrates  |  good hardness development  |  excellent chemical resistance,interior/exterior industrial and institutional maintenance#direct-to-metal protective coatings#interior/exterior general metal industrial coatingsconcrete and wood coatings,CN,43~45,,,,,100~700,,,,,,,,,7.8~8.3,42,Unstable,70,,,,,,,,200kg  |  997.903kg  |  ,US,"50517779,0,11",,50517779
1,default,EDR,30364622,Acronal? PRO 761,30364622,Acronal? PRO 761,Acronal? PRO 761,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,51,an APEO-free self-crosslinking emulsion for light to medium-duty anti-corrosion primers and industrial metal applications,82,styrene acrylic dispersion,milky white liquid,6,"excellent corrosion resistance  |  good adhesion  |  good compatibility with anti-corrosion pigments  |  good sandability  |  APEO-free, ecological  |  ",an excellent anti-corrosion vehicle for light to medium-duty industrial applications (ISO 12944-2 C2-C3) where good adhesion is required.This product can be used to formulate water-based anti-corrosion coatings on difficult substrates like zinc or aluminum.,CN,50,,,,,325,,,,,,,,,9.3,22,Unstable,,,,,,,,,120kg  |  1000kg  |  ,DE,,,
1,default,EDR,30625491,Acronal? PRO 763,30625491,Acronal? PRO 763,Acronal? PRO 763,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,51,a silane-modified acrylic emulsion polymer for industrial metal coatings,82,silane-modified acrylic dispersion,milky white liquid,6,excellent corrosion resistance and humidity resistance  |  good adhesion to various metals  |  good early water resistance  |  high pigment compatibility,an excellent vehicle for general and industrial coatings especially when corrosion protection is requiredused to formulate waterborne direct to metal (DTM) paints and anticorrosive primers,CN,50,,,,,100~250,,,,,,,,,7~8,28,Unstable,,,,,,,,,150kg  |  1000kg  |  ,DE,"50409428,0,11",,50409428
1,default,EDR,30625809,Acronal? PRO 780,30625809,Acronal? PRO 780,Acronal? PRO 780,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,51,"a polymer emulsion for medium-duty anti-corrosion primers, fillers or topcoats for industrial metal coatings",82,Styrene acrylic dispersion,Milky white liquid,6,"enhanced corrosion resistance with good barrier and inhibiting  |  suitable for light to medium duty primer applications  |  good adhesion on steel  |  good application properties (airless spray, dip)  |  high pigment loading  |  APEO free, zinc free","a unique barrier and inhibiting polymer emulsion for medium-duty anti-corrosion primers, fillers or topcoats (ISO 12944- 2:C2-C3)",CN,50,,,,,190,,,,,,,,,8.5,22,Unstable,,,,,,,,,150kg  |  1000kg  |  ,DE,"50412349,0,11",,50412349
1,default,EDR,30068561,Acronal? PRO 8977,30068561,Acronal? PRO 8977,Acronal? PRO 8977,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,51,a self-crosslinking APEO free polymer dispersion for the water-based anti-corrosion coatings for medium-duty applications,82,acrylic emulsion,Milky white liquid,6,"good corrosion and humidity resistance  |  excellent block resistance  |  good early water resistance  |  good sandability after 2hrs drying at room temperature  |  high pigment loading (PVC=35%)  |  APEO free, ecological",Adding of suitable anti-corrosion pigments and extenders allows to formulate coatings with outstanding anti-corrosion protection.#used in a broad variety of coatings formulations for metal substrates#Topcoats can be colored to almost any desired shade,CN,50,,,,,200,,,,,,,,,9.5,37,Stable,,,,,,,,,150kg  |  1050kg  |  ,DE,"50854757,0,11",,50854757
1,default,EDR,30717863,Joncryl? PRO 1522 CN,30717863,Joncryl? PRO 1522 CN,Joncryl? PRO 1522 CN,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,a modified acrylic dispersion for high gloss corrosion-resistant coatings,82,modified acrylic dispersion,Milky white liquid,6,"good corrosion protection and outperforming commercial DTM paints  |  high gloss (>80GU @60°)  |  low VOC possible (<150 g/L)  |  good early water resistance  |  good exterior durability  |  suitable for rush, roller, spray & dip application",Interior/exterior general metal industrial coating applicationsOEM industrial DTM applications that require high gloss (>80 GU@60°) and 25~40 microns dry film thickness,CN,44~46,,,,,150 ~ 950,,,,,,,,,8.5 ~ 9.5,26,Stable,,,,,,,,,200kg  |  1000kg  |  ,CN,"50611387,0,11#50611389,0,12",,50611387 | 50611389
1,default,EDR,30590415,Joncryl? PRO 1524,30590415,Joncryl? PRO 1524,Joncryl? PRO 1524,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,an acrylic dispersion for high gloss corrosion-resistant coatings,82,acrylic dispersion,semi-translucent emulsion,6,Excellent corrosion resistance  |  High gloss (> 80GU @60°)  |  Low VOC capable (< 100 g/L)  |  Excellent wet/dry adhesion on metal  |  Excellent UV durability  |  Good chemical resistance  |  APEO free  |  ,interior/exterior general metal industrial coating applicationsOEM industrial DTM applications that require high gloss (>80 GU@60°),CN,41.5 ~ 44.0,,,,,"250 ~ 1,750",,,,,,,,,7.5 ~ 8.9,25,Stable,,,,,,,,,200kg,NL,"50347630,0,11",,50347630
1,default,EDR,30590230,Joncryl? PRO 1532,30590230,Joncryl? PRO 1532,Joncryl? PRO 1532,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,an acrylic emulsion for maintenance and industrial coating applications,82,acrylic emulsion,Milky white liquid,6,excellent adhesion to a variety of substrates  |  humidity resistance  |  good corrosion resistance  |  ,"primer/topcoat and direct-to-metal applicationsgeneral metal coating applications, wood coatings for flooring, furniture, or millwork applications, plastic component coating applications, concrete coating applications for both interior and exterior use",CN,50~52,,,,,100 ~ 700,,,,,,,,,7.2 ~ 8.2,14,Stable,,,,,,,,,200kg,NL,"50346511,0,11",,50346511
1,default,EDR,30488924,Joncryl? PRO 1522,30488924,Joncryl? PRO 1522,Joncryl? PRO 1522,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,a modified acrylic dispersion for high gloss corrosion-resistant coatings,82,modified acrylic dispersion,Milky white liquid,6,"good corrosion protection and outperforming commercial DTM paints  |  high gloss (>80GU @60°)  |  low VOC possible (<150 g/L)  |  good early water resistance  |  good exterior durability  |  suitable for rush, roller, spray & dip application",Interior/exterior general metal industrial coating applicationsOEM industrial DTM applications that require high gloss (>80 GU@60°) and 25~40 microns dry film thickness,CN,44~46,,,,,150 ~ 950,,,,,,,,,8.5 ~ 9.5,26,Stable,,,,,,,,,200kg,NL,"50101989,0,11",,50101989
1,default,EDR,30282273,Joncryl? 1532,30282273,Joncryl? 1532,Joncryl? 1532,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,an acrylic emulsion for maintenance and industrial coating applications,82,acrylic emulsion,Milky white liquid,6,excellent adhesion to a variety of substrates  |  humidity resistance  |  good corrosion resistance  |  ,"primer/topcoat and direct-to-metal applicationsgeneral metal coating applications, wood coatings for flooring, furniture, or millwork applications, plastic component coating applications, concrete coating applications for both interior and exterior use",CN,50~52,,,,,100 ~ 700,,,,,,,,,7.2 ~ 8.2,14,Stable,,,,,,,,,217.724kg  |  997.903kg  |  ,US,"54039741,0,11",,54039741
1,default,EDR,30550617,Laromer? EA 8765 R,30550617,Laromer? EA 8765 R,Laromer? EA 8765 R,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,"an aliphatic epoxy acrylate for formulation of radiation curable printing inks and coatings for wood, wood products, paper and plastics",87,aliphatic epoxy acrylate,low-to medium-viscous liquid,"2,6",partly water soluble  |  flexible  |  highly reactive  |  ,"The resin can be used solely or in combination with other unsaturated acrylic resins to formulate printing inks and coatings for wood, wood products, plastics and paper.",CN,,无,,2,,,0.6~1.2,,,,,,,,,,,330,,,,,,,,200kg,DE,"50014837,0,11",,50014837
1,default,EDR,30061785,Laromer? LR 8986,30061785,Laromer? LR 8986,Laromer? LR 8986,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,"Epoxide acrylate for the formulation of radiation curable coatings and printing inks for wood, wood-based products, paper and plastics",87,"epoxide acylate resin, free of reactive diluents",medium viscous liquid,"2,6",free of reactive thinners  |  low viscosity  |  good chemical resistance  |  good scratch resistance,"can be diluted with e.g. polyether acrylates in order to formulate monomer free topcoats, primers and sealerscan be used to formulate films with excellent chemical and mechanical properties",CN,,无,,2.4,,,3~ 6,,,,,,,,,,,170,,,,,,,,220kg,DE,"50078885,0,11",,50078885
1,default,EDR,30170627,Laromer? LR 9019,30170627,Laromer? LR 9019,Laromer? LR 9019,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,"Modified aromatic epoxide acrylate for the formulation of radiation curable coatings and printing inks for wood, wood-based products, paper and plastics",87,"modified, aromatic epoxide acrylate resin, free of reactive diluents",viscous liquid,"2,6",free of reactive diluents  |  high reactivity  |  good scratch resistance  |  ,"can be used as base product for many applications such as primers, sealers and topcoats for wood and wood-based materialscan be used to formulate films with good chemical resistance and high scratch resistance",CN,,无,,2.4,,,12~ 20,,,,,,,,,,,175,,,,,,,,220kg,DE,"51161098,0,11",,51161098
1,default,EDR,30041349,Laromer? PE 56 F,30041349,Laromer? PE 56 F,Laromer? PE 56 F,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,"a polyester acrylate, free of diluents for the recipe of radiation curable coatings and printing inks for wood, wood-based products, paper and plastics",95,polyester acrylate,viscous liquid,"2,6",free of reactive diluents  |  balanced properties  |  good toughness  |  ,"used for the formulation of primers, sealers and topcoats for furniture and flooring applications",CN,,无,,2.8,,,20~ 40,,,,,,,,,,,70,,,,,,,,220kg,DE,"50082431,0,11",,50082431
1,default,EDR,30041346,Laromer? PE 8800,30041346,Laromer? PE 8800,Laromer? PE 8800,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,"a liquid polyester-modified acrylic resin for the recipe of energy curable coatings for wood, wood products, and paper applications",95,polyester acrylate,low-medium viscous liquid,2,excellent hardness  |  highly resistant to chemical  |  monomer free  |  ,"as a sole binder or in combination with other unsaturated acrylic resins for the formulation of EB or UV curable coatings for wood, wood products, and paper applications#interior/exterior plastic components coating applications#interior/exterior general industrial metal coating applications",CN,,无,,2.6,,,4~ 8,,,,,,,,,,,80,,,,,,,,220kg,DE,"50083014,0,11",,50083014
